,name,community_status,lifetime_investment,city,st_abb,pop_change_10_11,pop_change_11_12,pop_change_12_13,pop_change_13_14,pop_change_14_15,pop_change_15_16,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,residentcount,edu_event,dist_event,home_assess,comm_prep,mitigation,other
0,555 Freeman Road,In Good Standing,6500.0,Central Point,OR,0.0068039919374662,0.00757834702188541,0.00734688339003421,0.0117818552693614,0.0153249235655767,0.0140165032266524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6500.0,0.0,266.0,0.0,0.0,0.0,1.0,0.0,0.0
1,ARR-Babo Ranches,In Good Standing,49922.0,Elgin,AZ,0.00402877090847729,-0.00586134453781513,-0.00883328754675514,-0.0110014284800546,-0.00538944100717874,-0.00329453583891454,0.0,0.0,0.0,13950.0,3000.0,4500.0,3000.0,4715.0,1297.0,2000.0,7700.0,4500.0,2100.0,3160.0,0.0,8.0,3.0,2.0,1.0,2.0,1.0,0.0
2,Acres of Diamonds,In Good Standing,15875.25,La Veta,CO,-0.0217489125543723,0.00919963201471941,-0.0156487389851109,-0.0111128260534033,0.00811612299047916,0.0337513546988698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1333.0,5542.25,5000.0,4000.0,0.0,16.0,0.0,0.0,2.0,1.0,1.0,0.0
3,Adger,In Good Standing,18775.0,Adger,AL,-0.00073083643546304,-4.56156516423915e-05,0.0014278350280321,0.00175377859570165,0.000415319530779876,-0.000736355826529113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310.0,6537.0,2814.0,2817.0,3297.0,0.0,1280.0,0.0,3.0,1.0,3.0,0.0,0.0
4,Adona,In Good Standing,7294.65,Adona,AR,-0.00602582496413199,-0.00538876058506543,9.6749226006192e-05,-0.00899680758440553,-0.00605232331120656,-0.00491062659595364,0.0,957.42,850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1576.23,0.0,3911.0,0.0,189.0,0.0,2.0,0.0,0.0,0.0,0.0
5,Alapine Village Subdivision Unit 2,In Good Standing,2881.0,Mentone,AL,0.00369557685644994,-0.0021478157480919,0.00219087519698659,-0.00498580961877733,-0.0084027135368486,-3.88711809064759e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.0,198.0,300.0,87.0,45.0,498.0,1419.0,0.0,18.0,5.0,3.0,1.0,0.0,0.0,0.0
6,Alaska Place,In Good Standing,54738.55,Friday Harbor,WA,0.00329740012682308,-0.000758437618505878,0.00411132194813409,0.00919685039370079,0.0132950502465514,0.00646790686214119,0.0,3152.55,23218.0,1500.0,2200.0,2400.0,1400.0,1585.0,1675.0,2374.0,3654.0,3773.0,3773.0,4034.0,0.0,13.0,0.0,0.0,0.0,1.0,10.0,0.0
7,Alexander,Inactive,16773.0,Alexander,AR,0.00821900668103842,0.00550447804413924,0.00618917216286754,0.00337582287279715,0.000761525393942944,0.000809300336953977,0.0,0.0,0.0,0.0,0.0,0.0,11673.0,5100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.0,0.0,1.0,0.0,0.0,1.0,0.0
8,Allen,Inactive,26050.0,Allen,OK,0.00297856496994841,0.00861748952643581,0.00331238991561292,0.00256779772042447,0.00013067454198573,0.00162015260792307,0.0,0.0,0.0,0.0,0.0,7500.0,8000.0,2050.0,4000.0,2500.0,2000.0,0.0,0.0,0.0,0.0,952.0,0.0,4.0,0.0,0.0,0.0,1.0
9,Alpena,Inactive,8281.0,Alpena,AR,0.00428219096403502,0.00812306031574686,0.00149908983831245,-0.00550625467764354,0.000618179863462882,0.00201455854307126,0.0,0.0,0.0,7080.0,1201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Alpine,In Good Standing,46353.6,Nathrop,CO,0.0114587429084986,0.00544232798356195,0.0117647058823529,0.00709684463369363,0.00856461405030356,0.0242932387401913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11050.0,8000.0,12000.0,13000.0,2303.6,98.0,1.0,0.0,0.0,1.0,1.0,0.0
11,Alpine,Inactive,8951.0,Amity,AR,-4.35843793584379e-05,-0.00592773394935274,-0.0068838514491165,0.000573951434878587,-0.000926620482725147,0.000662485646144334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6301.0,1010.0,1640.0,0.0,0.0,0.0,0.0,301.0,0.0,1.0,0.0,2.0,0.0,0.0
12,Alpine Acres,In Good Standing,104314.0,Kamas,UT,0.0258329905388729,0.0122971636324752,0.0137322734835081,0.0160992002500847,0.0122035636456865,0.020921455890175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,1100.0,12508.0,10295.0,10295.0,8800.0,11316.0,0.0,150.0,3.0,3.0,0.0,2.0,0.0,0.0
13,Alpine Heights,In Good Standing,1275.0,Payson,AZ,-0.00098993257251723,-0.00841341659499682,5.65653518364884e-05,0.00160259431738909,0.000263534372411716,0.00786631036169973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1275.0,0.0,576.0,0.0,0.0,0.0,0.0,1.0,0.0
14,Alpine Meadows,Inactive,120495.0,Alpine Meadows,CA,0.0186989270030894,0.0118699601718692,0.0150047920048308,0.0110551666734892,0.0105186160880573,0.0164216858137255,0.0,0.0,0.0,0.0,47295.0,5000.0,6075.0,0.0,0.0,12000.0,20000.0,20000.0,10125.0,0.0,0.0,200.0,2.0,0.0,0.0,1.0,0.0,2.0
15,"Alpine Mountain HOA, Inc.",Inactive,68332.0,Hot Springs,NC,0.00226168134353496,0.00297676205108508,0.0119674485399713,0.00179754020813623,-0.00349419208612711,0.0111827141774071,0.0,0.0,2700.0,17500.0,24000.0,5000.0,0.0,0.0,0.0,13282.0,2000.0,3850.0,0.0,0.0,0.0,45.0,1.0,0.0,1.0,1.0,0.0,1.0
16,Alpine Tracts,In Good Standing,12791.68,Cashmere,WA,0.00765635738831615,0.00473351794508028,0.00408667553697016,0.00626056385639916,0.0137601118009084,0.0118766734710108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12791.68,0.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0
17,Ancala West,In Good Standing,3700.0,Scottsdale,AZ,0.0118124767357727,0.0186403038540294,0.0173118716172296,0.018127157854009,0.0190272558473686,0.0195499991950283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3700.0,79.0,1.0,0.0,0.0,0.0,0.0,0.0
18,Ancala West Estates,Inactive,9054.99,Scottsdale,AZ,0.0118124767357727,0.0186403038540294,0.0173118716172296,0.018127157854009,0.0190272558473686,0.0195499991950283,0.0,0.0,0.0,0.0,0.0,0.0,8637.99,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,0.0,0.0,0.0,2.0,0.0,0.0
19,Andrews,In Good Standing,278085.0,Andrews,TX,0.0374115267947422,0.046588693957115,0.0415347364499907,0.0374940391034812,0.0356794024705544,-0.0147564628869411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106050.0,64285.0,38000.0,31000.0,38750.0,0.0,12758.0,1.0,1.0,0.0,3.0,0.0,0.0
20,Anthem,In Good Standing,530391.95,New River,AZ,0.0118124767357727,0.0186403038540294,0.0173118716172296,0.018127157854009,0.0190272558473686,0.0195499991950283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83756.0,96085.0,74601.0,70622.0,71792.0,69045.95,64490.0,0.0,27840.0,0.0,0.0,0.0,6.0,0.0,0.0
21,Antioch,In Good Standing,26019.04,Beebe,AR,0.0101250436424295,0.00709201700035844,-0.000444896402694801,-0.00130984930374515,0.00612489176386696,0.00316403629782441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9298.0,5639.04,11082.0,0.0,2200.0,4.0,2.0,0.0,1.0,0.0,0.0
22,Antioch,Inactive,2733.92,Donaldson,AR,-0.00292063109719379,0.010327646081836,0.00113578623307529,-0.00316465144051351,0.00281529845158585,-0.00325538332885345,0.0,0.0,0.0,0.0,0.0,0.0,1235.0,499.92,999.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,4.0,2.0,0.0,1.0,0.0,0.0
23,Antlers,In Good Standing,55700.0,Antlers,OK,-0.0156371490280778,-0.0146568369317184,-0.00231584572904605,-0.00830283010445496,0.00414115952466691,-0.00869643177335485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,700.0,10000.0,12000.0,12000.0,11000.0,0.0,3000.0,0.0,5.0,0.0,0.0,0.0,2.0
24,Antlers at Sageport HOA,Inactive,15635.0,Larkspur,CO,0.0196111910627607,0.0210076997474428,0.0257335466638104,0.0278649793435626,0.0234934805591448,0.01939010053322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8050.0,7585.0,0.0,0.0,126.0,3.0,1.0,0.0,1.0,2.0,0.0
25,Antoine,In Good Standing,15465.66,Delight,AR,-0.00301605606315976,0.00275825251356882,-0.0127772848269743,-0.0111450656120798,-0.0134520996182512,-0.00202690252441496,0.0,0.0,0.0,0.0,901.0,7800.0,627.75,964.0,156.0,1132.0,1121.5,740.86,1375.55,647.0,0.0,122.0,0.0,3.0,0.0,4.0,0.0,2.0
26,Aplin,In Good Standing,1273.4,Perryville,AR,-0.00602582496413199,-0.00538876058506543,9.6749226006192e-05,-0.00899680758440553,-0.00605232331120656,-0.00491062659595364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1273.4,0.0,180.0,0.0,1.0,0.0,0.0,0.0,0.0
27,Apple Mountain Lake,In Good Standing,200651.0,Linden,VA,0.00413168066106891,0.00865410140695514,0.0167122855037372,0.0122699386503067,0.00107403145377829,0.000204357932919509,0.0,0.0,0.0,9000.0,15000.0,2340.0,12095.0,7178.0,3040.0,970.0,4900.0,18229.0,123915.0,3984.0,0.0,1500.0,2.0,3.0,0.0,1.0,1.0,0.0
28,Apple Mountain Lake-South,In Good Standing,41514.0,Linden,VA,0.00413168066106891,0.00865410140695514,0.0167122855037372,0.0122699386503067,0.00107403145377829,0.000204357932919509,0.0,0.0,0.0,8000.0,4900.0,1000.0,3000.0,4500.0,2520.0,970.0,4900.0,4176.0,5048.0,2500.0,0.0,120.0,3.0,3.0,0.0,2.0,3.0,0.0
